     TURKIYE TURKCESININ DIGRAFIK PARAMETRELERI
         ( BOSLUK DAHIL , 30 KARAKTER ICIN )       

Digraf  Frekans      Log(F)     Log (F)   Olasilik    Gecis     Entropi
                                   C                 Olasilik
======  =======     ========    ========  ========   =========  ========
  I!       7781     3.891035    0.752206  0.001255   0.028098   0.012098
  IH        131     2.117271    0.409306  0.000021   0.000473   0.000328
  II          0     0.000000    0.000000  0.000000   0.000000   0.000000
  I$         15     1.176091    0.227359  0.000002   0.000054   0.000045
  IJ          0     0.000000    0.000000  0.000000   0.000000   0.000000
  IK      17964     4.254403    0.822451  0.002898   0.064869   0.024433
  IL      16654     4.221519    0.816094  0.002687   0.060139   0.022945
  IM      16722     4.223288    0.816436  0.002698   0.060384   0.023022
  IN      61719     4.790419    0.926073  0.009957   0.222872   0.066215
  IO         14     1.146128    0.221567  0.000002   0.000051   0.000042
  I#          1     0.000000    0.000000  0.000000   0.000004   0.000004
  IP       4154     3.618466    0.699514  0.000670   0.015000   0.007066
  IR      25181     4.401073    0.850805  0.004062   0.090930   0.032269
  IS       5311     3.725176    0.720143  0.000857   0.019178   0.008730
  I@      17298     4.237996    0.819280  0.002791   0.062464   0.023679
  IT       1249     3.096562    0.598620  0.000201   0.004510   0.002474
  IU          0     0.000000    0.000000  0.000000   0.000000   0.000000
  I"          1     0.000000    0.000000  0.000000   0.000004   0.000004
  IV        619     2.791691    0.539683  0.000100   0.002235   0.001327
  IY      13674     4.135896    0.799542  0.002206   0.049378   0.019466
  IZ      12232     4.087497    0.790186  0.001973   0.044171   0.017731
  Ib      71343     4.853352    0.938239  0.011510   0.257625   0.074133

  $A        336     2.526339    0.488386  0.000054   0.000763   0.000768
  $B       6766     3.830332    0.740471  0.001092   0.015368   0.010740
  $C       1673     3.223496    0.623159  0.000270   0.003800   0.003200
  $›      13662     4.135514    0.799468  0.002204   0.031030   0.019452
  $D       6811     3.833211    0.741028  0.001099   0.015470   0.010801
  $E         33     1.518514    0.293556  0.000005   0.000075   0.000093
  $F       2571     3.410102    0.659233  0.000415   0.005840   0.004660
  $G        334     2.523746    0.487885  0.000054   0.000759   0.000764
  $!       7965     3.901186    0.754168  0.001285   0.018091   0.012341
  $H       2362     3.373280    0.652115  0.000381   0.005365   0.004328
  $I          3     0.477121    0.092236  0.000000   0.000007   0.000010
  $$        504     2.702430    0.522428  0.000081   0.001145   0.001105
  $J         21     1.322219    0.255608  0.000003   0.000048   0.000062
  $K      16007     4.204310    0.812768  0.002582   0.036357   0.022201
  $L      33775     4.528595    0.875458  0.005449   0.076713   0.040974
  $M      26020     4.415308    0.853557  0.004198   0.059099   0.033146
